"MeanLength","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
59.5,0.146638753476732,0.146638753476732,0.146638753476732,0.146638753476732,0.146638753476732,0.146638753476732,0.146638753476732,0.146638753476732,0.146638753476732,0.146638753476732,0.146638753476732,0.146638753476732,0.146638753476732,0.146638753476732,0.146638753476732
60.5,0.154731034200283,0.154731034200283,0.154731034200283,0.154731034200283,0.154731034200283,0.154731034200283,0.154731034200283,0.154731034200283,0.154731034200283,0.154731034200283,0.154731034200283,0.154731034200283,0.154731034200283,0.154731034200283,0.154731034200283
61.5,0.163126170887906,0.163126170887906,0.163126170887906,0.163126170887906,0.163126170887906,0.163126170887906,0.163126170887906,0.163126170887906,0.163126170887906,0.163126170887906,0.163126170887906,0.163126170887906,0.163126170887906,0.163126170887906,0.163126170887906
62.5,0.171830296402067,0.171830296402067,0.171830296402067,0.171830296402067,0.171830296402067,0.171830296402067,0.171830296402067,0.171830296402067,0.171830296402067,0.171830296402067,0.171830296402067,0.171830296402067,0.171830296402067,0.171830296402067,0.171830296402067
63.5,0.18084956587509,0.18084956587509,0.18084956587509,0.18084956587509,0.18084956587509,0.18084956587509,0.18084956587509,0.18084956587509,0.18084956587509,0.18084956587509,0.18084956587509,0.18084956587509,0.18084956587509,0.18084956587509,0.18084956587509
64.5,0.190190156431718,0.190190156431718,0.190190156431718,0.190190156431718,0.190190156431718,0.190190156431718,0.190190156431718,0.190190156431718,0.190190156431718,0.190190156431718,0.190190156431718,0.190190156431718,0.190190156431718,0.190190156431718,0.190190156431718
65.5,0.199858266919461,0.199858266919461,0.199858266919461,0.199858266919461,0.199858266919461,0.199858266919461,0.199858266919461,0.199858266919461,0.199858266919461,0.199858266919461,0.199858266919461,0.199858266919461,0.199858266919461,0.199858266919461,0.199858266919461
66.5,0.209860117646385,0.209860117646385,0.209860117646385,0.209860117646385,0.209860117646385,0.209860117646385,0.209860117646385,0.209860117646385,0.209860117646385,0.209860117646385,0.209860117646385,0.209860117646385,0.209860117646385,0.209860117646385,0.209860117646385
67.5,0,0.220201950126031,0.220201950126031,0.220201950126031,0.220201950126031,0.220201950126031,0.220201950126031,0.220201950126031,0.220201950126031,0.220201950126031,0.220201950126031,0.220201950126031,0.220201950126031,0.220201950126031,0.220201950126031
68.5,0,0.230890026829161,0.230890026829161,0.230890026829161,0.230890026829161,0.230890026829161,0.230890026829161,0.230890026829161,0.230890026829161,0.230890026829161,0.230890026829161,0.230890026829161,0.230890026829161,0.230890026829161,0.230890026829161
69.5,0.241930630942054,0.241930630942054,0.241930630942054,0.241930630942054,0.241930630942054,0.241930630942054,0.241930630942054,0.241930630942054,0.241930630942054,0.241930630942054,0.241930630942054,0.241930630942054,0.241930630942054,0,0.241930630942054
70.5,0.253330066131086,0.253330066131086,0.253330066131086,0.253330066131086,0.253330066131086,0.253330066131086,0.253330066131086,0,0.253330066131086,0.253330066131086,0.253330066131086,0.253330066131086,0.253330066131086,0.253330066131086,0.253330066131086
71.5,0,0.265094656313333,0.265094656313333,0.265094656313333,0.265094656313333,0.265094656313333,0.265094656313333,0.265094656313333,0.265094656313333,0.265094656313333,0.265094656313333,0.265094656313333,0.265094656313333,0,0.265094656313333
72.5,0,0.277230745432977,0.277230745432977,0.277230745432977,0.277230745432977,0.277230745432977,0.277230745432977,0.277230745432977,0.277230745432977,0.277230745432977,0.277230745432977,0.277230745432977,0.277230745432977,0.277230745432977,0.277230745432977
73.5,0.289744697243272,0.289744697243272,0.289744697243272,0.289744697243272,0.289744697243272,0.289744697243272,0.289744697243272,0,0.289744697243272,0.289744697243272,0.289744697243272,0.289744697243272,0.289744697243272,0,0.289744697243272
74.5,0,0.302642895093864,0.302642895093864,0.302642895093864,0.302642895093864,0.302642895093864,0.302642895093864,0,0.302642895093864,0.302642895093864,0.302642895093864,0.302642895093864,0.302642895093864,0,0.302642895093864
75.5,0,0.315931741723268,0.315931741723268,0.315931741723268,0.315931741723268,0.315931741723268,0.315931741723268,0,0.315931741723268,0.315931741723268,0.315931741723268,0.315931741723268,0.315931741723268,0,0.315931741723268
76.5,0,0.329617659056293,0.329617659056293,0.329617659056293,0.329617659056293,0.329617659056293,0.329617659056293,0,0.329617659056293,0.329617659056293,0,0.329617659056293,0.329617659056293,0,0
77.5,0,0,0.343707088006257,0.343707088006257,0.343707088006257,0.343707088006257,0.343707088006257,0,0.343707088006257,0.343707088006257,0.343707088006257,0.343707088006257,0.343707088006257,0,0
78.5,0,0,0,0,0.358206488281788,0.358206488281788,0,0,0.358206488281788,0,0,0.358206488281788,0,0,0
