"MeanLength","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
48.5,74.9859643,75.2815413,103.19666007,82.8027832,89.6011624550541,62.2473036779733,54.2857740628177,65.3818840847658,48.3205914340582,22.7464809314074,34.7933936542827,10.6513528698269,29.7781119186561,66.8347273716963,25.6979765
49.5,49.506222,70.1809829,83.55150328,60.3291584,58.3688582356478,48.8211162204277,40.7777643059088,38.114266715959,0,24.1837748865805,23.3000675667799,11.1208830395799,31.1230827079251,53.1412072498935,36.3681877
50.5,81.1579497,82.845708,102.82277079,94.7185348,82.1915552915006,0,28.2100922651095,41.6138492604552,35.879128492824,19.6822888296943,25.1696633164092,9.91798597035086,18.6224565167443,59.0087921541526,25.0400682
51.5,43.1019229,67.3159903,72.82853844,65.7116613,40.7615115310843,37.8564818721845,30.1776745578918,36.8578662695965,26.6924945819496,16.6249980428294,19.6637448820915,14.1403962655376,16.5321180983555,36.5832090584542,31.947321
52.5,58.7929372,82.9127132,94.60503181,73.858162,65.0429818968627,42.3821526030664,37.1644803014659,48.4066023403411,28.5563242611664,31.6951694455104,29.519124409736,0,31.3784291446974,47.1362315287413,64.0307831
53.5,21.3425071,37.5324113,70.49764752,56.8806561,30.6091283138072,21.0411244805988,21.6400001074242,21.3400076862297,23.614949637085,13.4116611096492,16.0660411389426,9.19404020286977,21.1695025870126,18.0648368881015,24.8265159
54.5,31.218228,51.0832427,55.69786731,57.7738781,50.3661682796126,22.8126669467848,33.4906542190395,27.4959035335039,23.4969123283154,18.8232380250697,21.3323751033971,21.159847344838,30.3443196519545,36.15746942659,43.5149416
55.5,19.1994431,29.7165379,28.0854702,46.808798,25.9066579164828,11.6378052251551,14.6954600565278,9.86087354069291,20.2006957951533,11.6699764142139,13.7284395813667,12.5284353581404,14.3404860420815,15.6873685503778,23.7819442
56.5,25.004933,26.0288479,45.34013012,29.8136999,56.7053504058672,13.5421267203038,10.7875533569389,8.44564000551144,14.613561349615,12.6523904631823,8.34466254889429,21.0078697229425,22.9658575749897,19.5013649727328,20.0502629
57.5,23.5560801,34.9922434,36.15240996,25.0509334,15.6222590326092,8.2181043451199,6.39026612343721,5.77250082520758,17.43114355336,10.9724728572705,8.65859103002167,23.0167007178008,19.2098142934882,15.4835519406193,20.2748619
58.5,13.5341222,21.1530574,27.23328525,21.1600177,12.3559265942391,8.9095668402724,6.7067931572253,6.59313520646095,19.9980171660713,6.95198911510156,10.6959817403391,41.9285969546835,6.59211747999049,12.4580789991531,9.8047069
59.5,9.9599164,14.0956234,16.42877593,13.322745,14.5061374106085,7.61054234024339,9.24483208612356,5.11536653208062,11.0459898005354,3.85507064066181,5.56625280109721,15.1195722396546,6.88867501887755,8.19898509691526,9.0519958
60.5,6.316628,13.4020132,23.88833629,16.6253406,23.5996949694333,11.4972282859779,5.80443687476553,2.68894561610764,9.0866564401921,7.33693262531187,5.04082559297514,10.6428872777406,4.09625489218763,10.4416774888784,6.9697557
61.5,12.5143256,9.5440688,11.02304477,8.6625838,10.6720898283137,7.86178863523221,7.5103161948739,4.2408949926745,7.80298299879584,4.1948846597755,4.56716982172416,5.75252854154866,8.3723824182221,7.43371763855751,4.2499582
62.5,6.695069,8.2448519,11.04596134,15.7461281,15.99138650434,7.92430018210191,7.91106251497137,3.48438048969985,14.8704781360452,8.11854838882034,6.02909141457281,21.4239799214286,3.27435727908386,1.27544170884076,11.8410019
63.5,2.1838182,3.8572588,10.75777598,11.7287878,7.37864328489586,6.65227405969474,7.07540378637935,0.860307218066405,7.50539565510391,4.07821944478921,6.4622784943711,6.89578041156022,2.37693732466188,4.1505375437022,2.8975627
64.5,1.5032877,9.3735071,10.3125096,8.0465162,9.64856487775228,9.79835741798085,6.80360086850182,1.1235941593057,9.80665346697266,6.20826272900073,4.97061905945305,14.6169432507916,2.33353230795722,2.5295653749895,8.173194
65.5,3.9801698,4.6453965,4.52067152,4.2109399,3.40834422079913,9.15456838198592,7.37538914490373,0.627231831224545,8.92409759601788,1.51542744247406,3.10223833830008,8.1529843941066,1.29201980263488,0.718156406153719,2.334512
66.5,2.2525254,4.8406777,7.18797611,3.184919,7.01663016534698,3.22979793222805,4.33804246343601,1.61513059361422,11.3358588773032,1.42436151388221,3.33120381414687,3.83423202851133,2.67044335867302,2.4595116880968,3.4546956
67.5,0,3.828581,2.47115009,5.3622614,1.87904258781695,1.71490536958944,5.99466426808698,0.836711025603587,5.90490756326401,1.45126650683182,2.59795202352142,2.72220301149592,2.42051889701111,0.888423194491078,1.5362721
68.5,0,1.5670112,5.35173471,6.0010279,1.53207903977803,2.41347191576345,4.1661016008741,0.218525117539826,7.96946045804506,0.393719060881532,4.31875185123771,2.44822495584953,3.02001726676342,1.34155186593403,0.7646456
69.5,0.3101057,2.6879575,2.90040458,2.1346137,2.17424708615797,1.76829122215066,3.59381333260037,0.745147678260283,4.43981737508554,0.698376726399757,0.468084358279543,2.57911391383883,1.1924574524162,0,0.8549716
70.5,0.6486688,6.0156315,2.37133964,4.1580178,2.55481514607276,3.74108244232647,4.61417010400582,0,3.77840553209595,1.21974255985783,0.438677453446011,1.5759173872147,2.51636426753449,0.894367910622685,0.9250864
71.5,0,2.3666846,2.33961333,3.9581862,1.05681685552588,0.975479919395585,2.86596855097088,0.50208594144054,2.31511219348203,0.394243286070355,0.14703452416766,0.362661369301411,1.1924574524162,0,0.8028779
72.5,0,1.9429026,1.86953186,4.0039784,1.32265699438558,2.87905499515373,3.95251449137512,0.25104297072027,3.16855193751401,0.94746221940466,0.264662143501788,0.934408180381662,2.54811929336025,0.220619619589868,0.7231602
73.5,0.3101057,0.5925028,1.03769715,0.7505403,0.910991335455035,2.15705949643622,1.87429504858882,0,1.02104303087163,0.224086882805773,0.332920611569929,0.976883044472143,0.625097015386782,0,0.7646456
74.5,0,0.338573,0.80600233,0.5420763,0.635798037480245,2.6965059593026,1.11667305874377,0,1.42277943380788,0.658138453047222,0.411696667669448,1.22399324427311,0.73056482555727,0,1.105483
75.5,0,0.4916431,0.48527933,0.4336611,0.338315282381754,1.02718642256417,1.14491465358414,0,0.666282127481737,0.681513238735508,2.13307360799068,0.459259505690035,0.48961316558356,0,0.3823228
76.5,0,0.3591067,0.24569659,0.2168305,0.244051070880197,0.342395474188057,1.35774335742581,0,1.08261118437869,0.218068397968098,0,0.0547417268397381,0.0477312318131212,0,0
77.5,0,0,0.24569659,0.4336611,0.0975143323167984,0.342395474188057,0.807078371292853,0,1.28543524120567,0.0881188560535894,0.14703452416766,0.233456132368295,0.394150701957318,0,0
78.5,0,0,0,0,0.240800950064956,0.684790948376115,0,0,0.101412028413491,0,0,0.531188864604356,0,0,0
79.5,0,0,0.07730225,0,0.0975143323167984,0.684790948376115,0.269026123764284,0,0.254478199162273,0.0881188560535894,0,0,0.0477312318131212,0,0
80.5,0,0,0,0,0,0.342395474188057,0,0,0,0,0,0.233456132368295,0,0,0
81.5,0,0,0,0,0,0,0.269026123764284,0,0.101412028413491,0.0881188560535894,0,0,0,0,0
82.5,0,0,0.07730225,0,0,0,0.269026123764284,0,0.405648113653964,0.0881188560535894,0,0,0,0,0
83.5,0,0,0,0,0,0,0,0,0.101412028413491,0,0,0,0,0,0
