"MeanLength","X2012","X2013","X2014","X2015"
980,NA,NA,7897.21379876508,7019.62917342433
990,NA,8650.45,8016.52588489941,7861.08204789064
1000,NA,9504.96,12595.1333888426,4153.35221552971
1010,NA,NA,NA,8993.92242556605
1020,NA,NA,NA,10839.0394119224
1030,NA,9644.63,NA,8391.59732928838
1040,NA,9463.06,9848.62,10944.4269532306
1050,NA,9430,NA,NA
1060,NA,NA,NA,10929.69
1070,NA,NA,NA,11596.96
1080,NA,NA,NA,12515.2290374629
1090,NA,NA,NA,11727.5406293383
1100,NA,NA,NA,11980.7941111394
1110,NA,NA,NA,11637.4019870832
1130,NA,NA,NA,13639.3
